Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,361,0,9,12.533287467822623,4.597100996761583,426.47270701127127,883.0,0.6021779656603772,0.0,9,10,12,14,21,29,38,45,430,430,430
GET,GET /api/exam-sheets,232,0,10,11.100801736982499,5.238687008386478,44.079947998397984,2254.168103448276,0.38699525770971605,0.0,10,11,12,13,15,19,22,27,44,44,44
GET,GET /api/exam-sheets (progress),160,0,10,12.452461199609388,5.394342995714396,110.49225200258661,2254.58125,0.26689328117911454,0.0,10,11,13,14,18,30,35,46,110,110,110
GET,GET /api/exam-sheets (setup),10,0,390.0,393.17796239920426,377.05961598840076,405.3792339982465,2253.4,0.01668083007369466,0.0,390,400,400,400,410,410,410,410,410,410,410
GET,GET /api/exams,325,0,10,11.095787600318614,5.522002000361681,78.76169199880678,818.0,0.5421269773950764,0.0,10,11,12,12,15,18,23,30,79,79,79
GET,GET /api/exams (setup),10,0,250.0,263.6426352983108,236.38110401225276,288.71944099955726,818.0,0.01668083007369466,0.0,260,280,280,290,290,290,290,290,290,290,290
GET,GET /api/exams/{id},296,0,7,8.22959317171095,3.9472789940191433,53.75217300024815,271.3918918918919,0.49375257018136187,0.0,7,8,9,9,11,13,19,39,54,54,54
GET,GET /api/final-results,60,0,9,9.681413433281705,5.062807002104819,28.17483400576748,2958.0,0.10008498044216795,0.0,9,10,11,11,13,15,26,28,28,28,28
GET,GET /api/questions,233,0,9,10.58599102162694,4.9473649996798486,102.32300800271332,6741.609442060086,0.3886633407170855,0.0,9,10,11,12,14,17,24,29,100,100,100
GET,GET /api/questions (setup),10,0,110.0,117.07142960076453,95.27794300811365,146.57330099726096,6740.8,0.01668083007369466,0.0,120,120,120,140,150,150,150,150,150,150,150
GET,GET /api/questions (switch),93,0,9,9.458131097402344,5.137188010849059,20.10802300355863,6741.8387096774195,0.15513171968536033,0.0,9,9,11,11,13,15,20,20,20,20,20
GET,GET /api/student-responses,154,0,18,20.252084669274545,12.284597003599629,178.3489119989099,18981.363636363636,0.2568847831348977,0.0,18,20,22,22,24,30,34,40,180,180,180
GET,GET /api/student-responses (load sheet),351,0,18,23.412685239220906,10.562402996583842,182.70151899196208,18826.94586894587,0.5854971355866825,0.0,18,21,22,23,28,41,97,150,180,180,180
GET,GET /api/students,133,0,13,15.662786661983377,7.208643000922166,71.11715400242247,13022.0,0.22185503998013895,0.0,13,15,16,17,20,33,50,58,71,71,71
POST,POST /api/authenticate,10,0,750.0,748.009555999306,724.3613119935617,770.1420399971539,655.0,0.01668083007369466,0.0,750,760,760,770,770,770,770,770,770,770,770
PUT,PUT /api/student-responses (grade),343,0,52,59.98345275785239,30.9552429971518,1135.9890809981152,396.2157434402332,0.5721524715277267,0.0,52,57,64,67,82,97,110,150,1100,1100,1100
,Aggregated,2781,0,11,24.55036977303978,3.9472789940191433,1135.9890809981152,5547.572455951096,4.6389388434944845,0.0,11,16,20,23,49,65,100,250,770,1100,1100
