Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,3739,0,4,9.622506526879247,3.2268829963868484,281.69312499812804,883.0,6.237824872581466,0.0,4,5,6,7,16,38,59,84,270,280,280
GET,GET /api/exam-sheets,2213,0,5,6.713542548948108,3.6303300003055483,294.7500720038079,2253.8807049254406,3.6919781874893776,0.0,5,5,6,6,7,9,16,45,260,290,290
GET,GET /api/exam-sheets (progress),1733,0,5,6.387056436744573,3.544127001077868,333.1483250076417,2254.1021350259666,2.891187618128826,0.0,5,5,6,6,7,8,12,41,220,330,330
GET,GET /api/exam-sheets (setup),100,0,89,110.44630383054027,4.717956995591521,538.4784079942619,2254.3,0.16683136861678163,0.0,89,110,150,180,210,280,410,540,540,540,540
GET,GET /api/exams,2935,0,5,7.043439052718195,4.199027986032888,329.2209850042127,818.0,4.896500668902541,0.0,5,6,6,7,8,10,14,45,250,330,330
GET,GET /api/exams (setup),100,0,85,142.7922308492998,5.055342000559904,1810.5095369974151,818.0,0.16683136861678163,0.0,88,120,150,190,350,410,580,1800,1800,1800,1800
GET,GET /api/exams/{id},2921,0,4,5.132534068010807,2.775714994641021,247.17873700137716,271.3159876754536,4.873144277296191,0.0,4,4,4,4,5,7,10,34,230,250,250
GET,GET /api/final-results,742,0,5,6.114526431285212,3.533759998390451,211.193031995208,2958.0,1.2378887551365199,0.0,5,5,5,5,7,8,14,52,210,210,210
GET,GET /api/questions,2208,0,5,6.456662756960029,4.0842039888957515,188.63363499986008,6742.1875,3.6836366190585386,0.0,5,6,6,6,7,9,14,40,170,190,190
GET,GET /api/questions (setup),100,0,96,108.5081149902544,7.428554003126919,433.80576399795245,6743.1,0.16683136861678163,0.0,96,110,120,140,230,270,430,430,430,430,430
GET,GET /api/questions (switch),858,0,5,6.276183959294359,3.979184999479912,188.41908600006718,6741.502331002331,1.4314131427319865,0.0,5,6,6,6,7,9,13,27,190,190,190
GET,GET /api/student-responses,1449,0,12,13.823236817762135,9.073009001440369,264.8429219989339,19880.022084195996,2.417386531257166,0.0,12,13,14,14,16,19,24,44,260,260,260
GET,GET /api/student-responses (load sheet),3555,0,12,19.561601477079474,9.222531007253565,564.9954389955383,19880.365682137835,5.930855154326587,0.0,12,13,14,15,18,34,160,230,460,560,560
GET,GET /api/students,1457,0,8,12.148734626646922,5.806248998851515,324.38719700439833,13022.0,2.4307330407465084,0.0,8,9,10,12,20,39,53,61,260,320,320
POST,POST /api/authenticate,100,0,6400.0,6060.393046890385,2049.8510820034426,7929.787834000308,655.0,0.16683136861678163,0.0,6500,7200,7300,7600,7700,7800,7900,7900,7900,7900,7900
PUT,PUT /api/student-responses (grade),3347,0,45,51.14823225370161,23.83716800250113,565.9526240051491,396.2500746937556,5.583845907603681,0.0,45,51,56,60,73,87,110,150,360,570,570
,Aggregated,27557,0,6,37.828009020528796,2.775714994641021,7929.787834000308,5772.836956127299,45.97372024972652,0.0,6,10,12,15,43,59,99,180,7300,7900,7900
