Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,16561,0,93,148.28293914364855,3.2884480024222285,8511.538945997017,883.0,27.646000226155394,0.0,93,120,150,170,300,510,780,1000,2900,8000,8500
GET,GET /api/exam-sheets,9974,0,21,86.72934980972207,3.5260099975857884,7578.5160590021405,2254.0466212151596,16.650033588290192,0.0,21,43,66,91,220,400,690,940,2700,7600,7600
GET,GET /api/exam-sheets (progress),7673,0,22,79.30309907428351,3.4947850072057918,2821.784788000514,2254.0007819627263,12.80887384429022,0.0,22,44,66,90,220,380,630,830,1500,2800,2800
GET,GET /api/exam-sheets (setup),500,0,4300.0,4484.422995077595,279.4665070105111,11159.21801199147,2254.066,0.8346718261625322,0.0,4400,5200,6100,7200,9500,10000,11000,11000,11000,11000,11000
GET,GET /api/exams,13227,0,23,92.2967156637228,3.9830890018492937,6252.812761988025,818.0,22.08040848930363,0.0,23,45,68,91,220,420,720,960,3800,6100,6300
GET,GET /api/exams (setup),500,0,6400.0,6134.402837321913,546.4499299996532,14794.025690993294,818.0,0.8346718261625322,0.0,6500,7600,8100,9900,11000,11000,12000,15000,15000,15000,15000
GET,GET /api/exams/{id},13615,0,18,81.48911126725545,2.718913005082868,8338.402177003445,271.33764230627986,22.728113826405753,0.0,18,40,62,84,190,380,650,880,3200,7800,8300
GET,GET /api/final-results,3263,0,21,86.21699283328306,3.4652540052775294,4030.4726290050894,2958.0,5.4470683375366855,0.0,21,42,64,90,210,390,670,960,2700,4000,4000
GET,GET /api/questions,9999,0,16,58.60076495535477,3.7782969884574413,6083.790693010087,6742.183818381838,16.69176717959832,0.0,16,29,41,54,130,240,460,640,2900,6100,6100
GET,GET /api/questions (setup),500,0,2300.0,2761.627570701647,261.51821301027667,11111.975346997497,6742.502,0.8346718261625322,0.0,2300,3200,3800,4300,6100,6700,8000,10000,11000,11000,11000
GET,GET /api/questions (switch),3771,0,17,48.15297405008427,3.9013820060063154,2146.0755949956365,6742.168655529037,6.295094912917818,0.0,17,28,40,52,120,220,340,440,970,2100,2100
GET,GET /api/student-responses,6613,0,41,106.96411683500718,8.775296999374405,5464.495426000212,19878.402389233328,11.03936957282565,0.0,41,63,87,110,230,460,730,1000,2900,5500,5500
GET,GET /api/student-responses (load sheet),16061,0,43,158.80564216438896,8.627254006569274,11924.798880005255,19878.34543303655,26.81132839999286,0.0,43,68,98,130,340,670,1500,2100,5300,7500,12000
GET,GET /api/students,6674,0,98,150.527711050466,5.791314004454762,11921.255861001555,13022.0,11.14119953561748,0.0,98,130,150,170,290,500,760,1000,3200,12000,12000
POST,POST /api/authenticate,500,0,21000.0,19944.397834591888,2595.9139309998136,32725.505162001355,655.0,0.8346718261625322,0.0,21000,24000,28000,29000,31000,32000,32000,32000,33000,33000,33000
PUT,PUT /api/student-responses (grade),15529,0,98,164.86095104680433,25.545682990923524,3002.9568350000773,395.9468091956984,25.923237576955927,0.0,98,130,160,190,360,570,830,1100,1800,2800,3000
,Aggregated,124960,0,49,246.4267944424362,2.718913005082868,32725.505162001355,5765.205977912932,208.60118279454005,0.0,49,85,110,140,300,570,1300,4400,28000,32000,33000
